id,term,lang,lang_name,pos,register,severity,severity_label,categories,is_slur,slur_type,context_dependent,gloss_en,literal_en,variants,euphemisms,formal_equivalent,etymology,notes,false_friends,also_used_in,confidence,sources
bcl-boto,boto,bcl,Bikol Central,n,standard,3,strong,sexual-anatomy,False,,False,penis (vulgar),,,,,,,'boto' = vote in Tagalog/Bikol civic usage — innocent and extremely common,,high,aninipot
bcl-buraot,buraot,bcl,Bikol Central,adj,slang,1,mild,insult-character,False,,False,mooch; greedy freeloader,,,,,,Bikol slang that spread nationally through memes and showbiz.,,tgl,high,model
bcl-buray,buray,bcl,Bikol Central,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,buday,,,,,,,high,aninipot|model
bcl-buray-ni-ina-mo,buray ni ina mo,bcl,Bikol Central,phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's vagina — the heavy Bikol curse,,burayniinamo|buray ni ina,,,,,,,medium,model
bcl-etoks,etoks,bcl,Bikol Central,n,slang,1,mild,insult-character,False,,False,annoying attention-seeker (from 'stalker'),,,,,,,,,low,aninipot
bcl-kado,kado,bcl,Bikol Central,intj,standard,2,moderate,sexual-act|expletive,False,,False,sex-act expletive used for frustration or surprise,,,,,,,,,medium,aninipot
bcl-lintian,lintian,bcl,Bikol Central,intj,standard,1,mild,expletive|malediction,False,,False,lightning-curse (cf. lintik/linte),,linti,,,,,,,medium,model
bcl-masimot,masimot,bcl,Bikol Central,intj,standard,2,moderate,malediction,False,,False,'may you be eaten (by an aswang)' — ill-wishing curse,,,,,,Invokes the aswang of Bikol folklore.,,,medium,aninipot
bcl-masing-gan,masing-gan,bcl,Bikol Central,n,slang,1,mild,insult-character,False,,False,motor-mouth; nag (from 'machine gun'),,,,,English 'machine gun',,,,medium,aninipot
bcl-pisot,pisot,bcl,Bikol Central,adj,standard,2,moderate,masculinity-taunt,False,,False,uncircumcised (taunt; cf. Tagalog 'supot'),,,,,,,,,medium,model
bcl-uyam,uyam,bcl,Bikol Central,intj,standard,1,mild,expletive,False,,False,expression of deep annoyance/frustration,,,,,,,,,medium,aninipot
cbk-carajo,carajo,cbk,Chavacano (Zamboangueño),intj,standard,2,moderate,expletive,False,,False,damn it (Spanish 'carajo'),,karaho,,,,,,,medium,model
cbk-chinga,chinga,cbk,Chavacano (Zamboangueño),intj,standard,4,severe,expletive|sexual-act,False,,False,fuck (the Chavacano F-word),,chinga vos|chingar,,,Spanish 'chingar',,,,high,bienchabacano
cbk-chingona,chingona,cbk,Chavacano (Zamboangueño),n,standard,3,strong,insult-character,False,,True,"female-directed 'chinga' derivative — offensive, though sometimes affectionate between close friends",,,,,,,,,high,bienchabacano
cbk-cono,coño,cbk,Chavacano (Zamboangueño),intj,standard,3,strong,sexual-anatomy|expletive,False,,False,cunt; damn (retains full Spanish vulgarity in Chavacano),,cono|konyo,,,,,"Manila slang 'conyo/konyo' = posh rich kid — mild tease, not vulgar",,high,bienchabacano
cbk-cono-de-vos-nana,coño de vos nana,cbk,Chavacano (Zamboangueño),phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's cunt,,conyobohnana|coño vos nana|cono de vos nana,coconana|chipla te,,,,,,high,bienchabacano
cbk-de-mal-herencia,de mal herencia,cbk,Chavacano (Zamboangueño),phrase,standard,2,moderate,insult-character|family-honor,False,,False,of bad breeding / bad blood,,,,,,,,,medium,bienchabacano
cbk-maleducao,maleducao,cbk,Chavacano (Zamboangueño),adj,standard,1,mild,insult-character,False,,False,ill-mannered; rude,,mal educao,,,,,,,high,bienchabacano
cbk-pendejo,pendejo,cbk,Chavacano (Zamboangueño),n,standard,2,moderate,insult-intelligence,False,,False,idiot; coward,,pendeja,,,,,,,high,bienchabacano
cbk-salvaje,salvaje,cbk,Chavacano (Zamboangueño),adj,standard,2,moderate,insult-character,False,,False,savage; brute (cf. Tagalog 'salbahe'),,,,,,,,,high,bienchabacano
cbk-tonto,tonto,cbk,Chavacano (Zamboangueño),adj,standard,2,moderate,insult-intelligence,False,,False,fool,,tonta,,,,,,,high,bienchabacano
ceb-amaw,amaw,ceb,Cebuano / Bisaya,adj,standard,2,moderate,insult-intelligence,False,,False,fool; dimwit,,amew,,,,,,,high,talkbisaya|bisdak
ceb-animal,animal,ceb,Cebuano / Bisaya,n,standard,2,moderate,animal-comparison,False,,False,beast! — person without manners,,animel|animala|nimal|animal ka,,,,,,hil|tgl,high,bisdak|gelhmo
ceb-atay,atay,ceb,Cebuano / Bisaya,intj,standard,1,mild,expletive,False,,False,'liver!' — damn / shoot,liver,ataya|atay atay|taya,,,,Everyday frustration word; escalates in combos ('ataya sad nimo oy').,,,high,talkbisaya|bisdak
ceb-bayot,bayot,ceb,Cebuano / Bisaya,n,standard,2,moderate,slur-homophobic,True,homophobic,True,gay man — neutral identity term in-group; slur in hostile use; also 'coward' taunt,,bayut|bayota|bayot ka,,,,Same moderation caution as Tagalog 'bakla': do not auto-block.,,,high,model
ceb-bilat,bilat,ceb,Cebuano / Bisaya,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,bilata|bilat nimo,,,,Recognized (and offensive) far beyond the Visayas.,,hil,high,gelhmo|model
ceb-bilat-sa-iyang-ina,bilat sa iyang ina,ceb,Cebuano / Bisaya,phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,his/her mother's vagina — top-tier Bisaya curse,,bilat sa imong ina|bilat sa ina|bilatsaiyangina|bsii,bilat sa manok,,,,,,high,model
ceb-bilat-sa-manok,bilat sa manok,ceb,Cebuano / Bisaya,phrase,euphemism,1,mild,expletive,False,,False,'chicken's vagina' — jokey minced form of the mother curse,,,,,,,,,medium,model
ceb-bisong,bisong,ceb,Cebuano / Bisaya,n,standard,3,strong,sexual-anatomy,False,,False,"vagina (vulgar, Cebu street usage)",,,,,,,,,medium,model
ceb-bogo,bogo,ceb,Cebuano / Bisaya,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; slow-witted,,bogo-bogo|ka bogo,,,,,,,high,talkbisaya
ceb-buang,buang,ceb,Cebuano / Bisaya,adj,standard,2,moderate,insult-mental,False,,False,crazy; fool,,boang|buanga|buang-buang|binuang|buing|kabuang,,,,Ranges from playful teasing to genuine insult depending on tone.,,hil|war|tgl,high,talkbisaya|bisdak|lingopie|gelhmo
ceb-giatay,giatay,ceb,Cebuano / Bisaya,intj,standard,2,moderate,expletive|malediction,False,,False,'struck by (chicken) liver-plague' — damn it / drop dead,,gi-atay|giatay!|giatayng,,,gi- (affected by) + atay (liver); references fowl pest disease,,,,high,model
ceb-hungog,hungog,ceb,Cebuano / Bisaya,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; dense,,hungug,,,,,,,medium,model
ceb-iyot,iyot,ceb,Cebuano / Bisaya,v,standard,3,strong,sexual-act,False,,False,to fuck (pan-Visayan),,yot|i-yot|giiyot|iyota|iyot ka,,,,,,hil|war|tgl,high,gelhmo|model
ceb-kayat,kayat,ceb,Cebuano / Bisaya,v,standard,3,strong,sexual-act,False,,False,"to copulate (vulgar, dialectal)",,,,,,,,,medium,kaikki
ceb-kayata,kayata,ceb,Cebuano / Bisaya,intj,standard,2,moderate,expletive,False,,False,strong exclamation derived from 'kayat' — roughly 'fucking hell',,kayatah|kayasa,,,,,,,medium,bisdak|kaikki|quora-ceb
ceb-kulira,kulira,ceb,Cebuano / Bisaya,intj,standard,2,moderate,expletive|malediction,False,,False,cholera-curse — like 'giatay',,kulera,,,Spanish 'colera' (cholera),,,,medium,quora-ceb
ceb-ngitngit,ngitngit,ceb,Cebuano / Bisaya,adj,standard,2,moderate,insult-appearance,False,,False,dark/gloomy — used to call someone ugly,,ngit-ngit,,,,,,,medium,talkbisaya
ceb-otin,otin,ceb,Cebuano / Bisaya,n,standard,3,strong,sexual-anatomy,False,,False,penis (vulgar),,utin|otina,,,,,,war|tgl,high,wp|model
ceb-pakyas,pakyas,ceb,Cebuano / Bisaya,n,standard,2,moderate,insult-character,False,,False,failure; loser,,,,,,,,,medium,talkbisaya
ceb-pesteng-yawa,pesteng yawa,ceb,Cebuano / Bisaya,phrase,standard,2,moderate,expletive|religious,False,,False,damn devil! — intensified double expletive,,pisting yawa|pesting yawa,,,,,,hil|tgl,high,lingopie|gelhmo
ceb-pisti,pisti,ceb,Cebuano / Bisaya,intj,standard,2,moderate,expletive,False,,False,pest! — damn,,piste|pisti!|piskot|piskat,,,Spanish 'peste' (plague),,,hil|war,high,talkbisaya|bisdak
ceb-walay-ulaw,walay ulaw,ceb,Cebuano / Bisaya,phrase,standard,2,moderate,insult-character,False,,False,shameless,,way ulaw|walay ulaw ka,,,,,,,high,model
ceb-yati,yati,ceb,Cebuano / Bisaya,intj,euphemism,1,mild,expletive,False,,False,minced 'yawa' — dang,,yatis|yati ra,,,,,,,medium,model
ceb-yawa,yawa,ceb,Cebuano / Bisaya,intj,standard,2,moderate,expletive|religious,False,,False,devil! — the signature Bisaya expletive,,yawa!|yawaa|yaws|yawards|yawa ka|ka yawa,yati|yamat,,"From Malitong Yawa, a figure in the Panay epic Hinilawod; demonized under Spanish evangelization and turned into a curse","Playful among friends, strong in anger; ubiquitous across the Visayas and Mindanao.",,war|hil|tgl,high,talkbisaya|bisdak|spotph|gelhmo
eng-asshole,asshole,eng,English (Philippine code-switching),expr,standard,3,strong,insult-character,False,,False,asshole,,a-hole|asshat,,,,,,,high,model
eng-bitch,bitch,eng,English (Philippine code-switching),expr,standard,3,strong,insult-character|slur-sexist,True,sexist,True,bitch (gendered insult),,btch|bish|bicth,,,,'bish'/'beshie-bish' can be affectionate among friends — context matters.,,,high,model
eng-bullshit,bullshit,eng,English (Philippine code-switching),expr,standard,2,moderate,expletive|scatological,False,,False,bullshit,,bs|bullsht,,,,,,,high,model
eng-damn,damn,eng,English (Philippine code-switching),expr,standard,1,mild,expletive,False,,False,damn,,dammit|damn it|damn ka,,,,,,,high,model
eng-fuck,fuck,eng,English (Philippine code-switching),expr,standard,3,strong,expletive|sexual-act,False,,False,fuck (freely mixed into Taglish),,fck|fk|fvck|fuk|fucking|fckng,pak|pakshet|frick|eff,,,Upper/middle-class Taglish uses raw English profanity heavily.,,tgl|ceb,high,wp|model
eng-motherfucker,motherfucker,eng,English (Philippine code-switching),expr,standard,3,strong,expletive|family-honor,False,,False,motherfucker (less common in PH usage than putang ina),,mf|mofo|motherfcker,,,,,,,high,model
eng-retard,retard,eng,English (Philippine code-switching),expr,standard,3,strong,slur-ableist,True,ableist,False,ableist slur (borrowed intact into PH online speech),,retarded|tard,,,,,,,high,model
eng-shit,shit,eng,English (Philippine code-switching),expr,standard,2,moderate,expletive|scatological,False,,False,shit,,sht|shitty,shet|shocks|shux,,,,,tgl|ceb,high,model
eng-son-of-a-bitch,son of a bitch,eng,English (Philippine code-switching),phrase,standard,3,strong,family-honor|insult-character,False,,False,son of a bitch,,sob|sonofabitch,sanamagan|sonamagan,,,,,,high,model
hil-agi,agi,hil,Hiligaynon / Ilonggo,n,standard,3,strong,slur-homophobic,True,homophobic,True,"gay man (Ilonggo/Karay-a) — derogatory in hostile use, reclaimed by some in-group",,agi ka,,,,,'agi' in Cebuano/Waray = 'to pass by / trace' — innocent,,high,gelhmo
hil-agitot,agitot,hil,Hiligaynon / Ilonggo,n,standard,3,strong,slur-homophobic,True,homophobic,False,harsher derivative of 'agi',,,,,,,,,medium,gelhmo
hil-alpot,alpot,hil,Hiligaynon / Ilonggo,n,standard,3,strong,sex-work|insult-character,False,,False,promiscuous person; whore,,,,,,,,,medium,gelhmo
hil-batinggilan,batinggilan,hil,Hiligaynon / Ilonggo,adj,standard,1,mild,insult-character,False,,False,stubborn; hard-headed,,,,,,,,,high,gelhmo
hil-bigaon,biga-on,hil,Hiligaynon / Ilonggo,adj,standard,2,moderate,sexual-general|insult-character,False,,False,lustful / horny (typically hurled at women),,bigaon,,,,,,,high,gelhmo
hil-bilat-sang-iloy-mo,bilat sang iloy mo,hil,Hiligaynon / Ilonggo,phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's vagina,,bilat sang iloy|bilat inana|bilat inamo,,,,,,,high,gelhmo
hil-bulay-ug,bulay-ug,hil,Hiligaynon / Ilonggo,adj,standard,2,moderate,insult-character,False,,False,useless; good-for-nothing,,,,,,,,,medium,gelhmo
hil-burat,burat,hil,Hiligaynon / Ilonggo,adj,slang,1,mild,expletive,False,,False,drunk; wasted (mild colloquial),,,,,,,"Tagalog 'burat' = penis (strong vulgarity) — same string, very different weight",,medium,model
hil-burikat,burikat,hil,Hiligaynon / Ilonggo,n,standard,3,strong,sex-work|slur-sexist,True,sexist,False,prostitute (derogatory),,,,,,,,ceb,high,gelhmo
hil-damuhal,damuhal,hil,Hiligaynon / Ilonggo,adj,standard,2,moderate,insult-character,False,,False,crude; ill-mannered,,,,,,,,,medium,gelhmo
hil-hangag,hangag,hil,Hiligaynon / Ilonggo,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; airheaded,,,,,,,,,high,gelhmo
hil-linte,linte,hil,Hiligaynon / Ilonggo,intj,standard,2,moderate,expletive|malediction,False,,False,lightning! — damn (Visayan counterpart of 'lintik'),,linti|lintian|lilintian|linte ka,,,,,,ceb|war,high,gelhmo
hil-panulay,panulay,hil,Hiligaynon / Ilonggo,n,standard,2,moderate,religious|insult-character,False,,False,devil; tempter,,panulay ka,,,,,,,high,gelhmo
hil-putyong,putyong,hil,Hiligaynon / Ilonggo,adj,standard,2,moderate,masculinity-taunt,False,,False,uncircumcised (taunt; cf. Tagalog 'supot'),,,,,,,,,medium,gelhmo
hil-wala-sing-huya,wala sing huya,hil,Hiligaynon / Ilonggo,phrase,standard,2,moderate,insult-character,False,,False,shameless,,wala huya|wala sing huya ka,,,,,,,medium,model
hil-yamuhat,yamuhat,hil,Hiligaynon / Ilonggo,n,standard,2,moderate,insult-character,False,,False,general insult (roughly 'wretch'),,,,,,Attested in an Ilonggo word list with an unclear gloss — verify with native speakers.,,,low,gelhmo
hil-yudiputa,yudiputa,hil,Hiligaynon / Ilonggo,intj,standard,4,severe,family-honor|expletive,False,,False,son of a whore (from Spanish 'hijo de puta'),,diputa|dipuga|yudi puta,,,Spanish 'hijo de puta',,,,high,gelhmo
ilo-bagtit,bagtit,ilo,Ilocano,adj,standard,2,moderate,insult-mental,False,,False,crazy,,agbagtit,,,,,,,medium,model
ilo-buto,buto,ilo,Ilocano,n,standard,3,strong,sexual-anatomy,False,,False,penis (vulgar),,,,,,,Tagalog 'buto' = bone / seed — completely innocent; flagship cross-language false friend,,high,model
ilo-lastog,lastog,ilo,Ilocano,adj,standard,1,mild,insult-character,False,,False,braggart; boastful,,,,,,,,,medium,model
ilo-maag,maag,ilo,Ilocano,adj,standard,2,moderate,insult-intelligence,False,,False,fool; simpleton,,,,,,,,,medium,model
ilo-takki,takki,ilo,Ilocano,n,standard,1,mild,scatological,False,,False,shit,,takki!|agtakki,,,,,,,high,model
ilo-tunggak,tunggak,ilo,Ilocano,adj,standard,2,moderate,insult-intelligence,False,,False,dimwit; dunce,,,,,,,,tgl,medium,spotph|model
ilo-uki,uki,ilo,Ilocano,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,,,,,,'uke' in anime/BL fandom slang and 'uki' as a nickname are innocent,,high,model
ilo-ukinnam,ukinnam,ilo,Ilocano,intj,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's vagina — THE Ilocano curse,,ukininam|okinnam|okinam|ukinam|ukinnana|kinnam,,,uki (vagina) + ina (mother) + -m (your),'ukinnana' is the third-person form ('his/her mother's...'); 'kinnam' is a clipped variant.,,pag,high,model
pag-ambagel,ambagel,pag,Pangasinan,adj,standard,2,moderate,insult-mental,False,,False,crazy; stupid,,ambagel ka|ambagel ka lasi,,,,Dictionary-attested (Glosbe); 'ambagel ka lasi' is a common combo taunt.,,,medium,glosbe-pag
pag-anak-na-lasi,anak na lasi,pag,Pangasinan,phrase,standard,2,moderate,malediction|family-honor,False,,False,'child of lightning' — signature Pangasinan curse,,analasi|anak lasi,,,,,,,medium,glosbe-pag|model
pag-lasi,lasi,pag,Pangasinan,intj,standard,1,mild,expletive|malediction,False,,False,lightning! — damn (cf. Tagalog 'lintik'),,ka lasi|lasi!,,,,,,,medium,glosbe-pag|model
pam-anakputa,anakputa,pam,Kapampangan,intj,standard,3,strong,family-honor|expletive,False,,True,"son of a whore — but culturally softened, an all-purpose Kapampangan exclamation",,nakputa|anak na puta|anakaputa,,,Spanish 'puta',"Kapampangans famously use it for joy, grief, anger, fear, even affection ('Lab da ka, anakputa!') — treat as severity 2 in clearly friendly contexts.",,,high,sunstar|fb-pampanga
pam-antac-nang-inda-mo,antac nang inda mo,pam,Kapampangan,phrase,archaic,4,severe,sexual-anatomy|family-honor,False,,False,your mother's private parts (recorded in a 1732 dictionary),,antak nang inda mo,,,,Historical/archaic; kept for linguistic completeness rather than live moderation.,,,low,sunstar
pam-bolang,bolang,pam,Kapampangan,adj,standard,2,moderate,insult-intelligence,False,,False,stupid,,,,,,,,,medium,sunstar
pam-dana,dana,pam,Kapampangan,intj,euphemism,1,mild,expletive,False,,False,"all-purpose exclamation ('oh my God'), euphemized from an ancient genital reference",,'dana|damo|'damo,,,Clipped from an old Kapampangan vulgarity recorded in colonial dictionaries,,,,medium,sunstar|fb-pampanga
pam-kesehoda,kesehoda,pam,Kapampangan,intj,slang,1,mild,expletive,False,,False,'to hell with it / whatever' (from Spanish 'que se joda'),,que se hoda|keseoda|kesejoda,,,Spanish 'que se joda',,,tgl,high,sunstar|model
pam-maburug-ka-sa,maburug ka sa,pam,Kapampangan,phrase,archaic,3,strong,malediction,False,,False,may your body be covered in scabies (ancestral curse),,,,,,,,,low,sunstar
pam-murit,murit,pam,Kapampangan,adj,standard,2,moderate,insult-intelligence,False,,False,moron,,,,,,,,,medium,sunstar
pam-sakdapul,sakdapul,pam,Kapampangan,intj,archaic,3,strong,malediction,False,,False,may you burn / may you vanish (ancestral curse),,sacdapul,,,,,,,low,sunstar
pam-tarantadu,tarantadu,pam,Kapampangan,adj,standard,2,moderate,insult-character,False,,False,jerk; scoundrel (shared with Tagalog 'tarantado'),,gagu,,,,Borrowed Tagalog/Spanish insults take Kapampangan spelling (-u endings).,,,high,model
tgl-abnoy,abnoy,tgl,Tagalog / Filipino,n,slang,3,strong,slur-ableist,True,ableist,False,clipped 'abnormal' — derogatory for people with disabilities; also a political taunt,,,,,,,,,high,model
tgl-ahas,ahas,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison,False,,True,'snake' — traitor; backstabber,,,,,,,,,high,model
tgl-amputa,amputa,tgl,Tagalog / Filipino,expr,slang,3,strong,expletive,False,,False,"clipped 'ay, puta!' (oh, whore) — damn it",,ampota|amputang,amp,,,'amp' is the ubiquitous chat/text softened form (severity 1).,,,high,model
tgl-anak-ng-puta,anak ng puta,tgl,Tagalog / Filipino,phrase,standard,4,severe,family-honor|expletive,False,,False,son of a whore,,anak ka ng puta|anakngputa|anak ng pota,anak ng tokwa|anak ng tinapa|anak ng tipaklong|anak ng kamote|anak ng pating,,,The 'anak ng <food/animal>' euphemism series is productive and playful (severity 1).,,,high,wp|model
tgl-baboy,baboy,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison,False,,True,'pig' — slob; glutton,,,,,,Innocent literal sense (pork/pig) is extremely common — context required.,,,high,model
tgl-badaf,badaf,tgl,Tagalog / Filipino,n,slang,1,mild,slur-homophobic,True,homophobic,True,gay (swardspeak),,,,,,,,,medium,model
tgl-bading,bading,tgl,Tagalog / Filipino,n,slang,1,mild,slur-homophobic,True,homophobic,True,"gay (colloquial, usually light)",,,,,,,,,high,model
tgl-baduy,baduy,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-character|insult-appearance,False,,True,tacky; unfashionable,,,,,,,,,high,model
tgl-bakla,bakla,tgl,Tagalog / Filipino,n,standard,2,moderate,slur-homophobic,True,homophobic,True,gay man / effeminate man — neutral identity term in most everyday and in-group use; slur only in hostile framing,,baklang|mga bakla|bakla ka,,,,IMPORTANT for moderation: widely self-applied and affectionate; auto-blocking it over-censors LGBT speech. Flag only with hostile context.,,,high,model
tgl-baklang-kanal,baklang kanal,tgl,Tagalog / Filipino,phrase,slang,3,strong,slur-homophobic,True,homophobic,False,'gutter gay' — vulgar mocking phrase,,,,,,,,,medium,model
tgl-baliw,baliw,tgl,Tagalog / Filipino,adj,standard,1,mild,insult-mental,False,,False,crazy,,kabaliwan|baliw ka,,,,,,,high,model
tgl-baluga,baluga,tgl,Tagalog / Filipino,n,standard,2,moderate,slur-ethnic,True,ethnic,True,term for Aeta/Negrito people — derogatory when used as an insult,,,,,,Also appears in neutral community/place names; do not auto-block.,,,medium,model
tgl-bansot,bansot,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-appearance,False,,False,stunted; runt,,,,,,,,,high,model
tgl-batuta,batuta,tgl,Tagalog / Filipino,n,slang,2,moderate,sexual-anatomy,False,,True,penis (jokey slang; literally 'nightstick/baton'),baton,,,,,Literal 'baton' sense is innocent and common.,,,high,model
tgl-bayag,bayag,tgl,Tagalog / Filipino,n,standard,3,strong,sexual-anatomy,False,,False,testicles / scrotum (vulgar),,,itlog,,,'itlog' (egg) is a jokey euphemism — innocent in food contexts.,,,high,wp
tgl-bobo,bobo,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,dumb; slow-witted,,boba|bobong|kabobohan|bobo mo,,,Spanish 'bobo' (silly),,'bobo' is a harmless word/name in Spanish and several languages,,high,lingopie|wp
