id,term,lang,lang_name,pos,register,severity,severity_label,categories,is_slur,slur_type,context_dependent,gloss_en,literal_en,variants,euphemisms,formal_equivalent,etymology,notes,false_friends,also_used_in,confidence,sources
tgl-brotsa,brotsa,tgl,Tagalog / Filipino,n,slang,3,strong,sexual-act,False,,False,cunnilingus (vulgar),,brocha,,,Spanish 'brocha' (paintbrush),,,,high,wp
tgl-bruha,bruha,tgl,Tagalog / Filipino,n,standard,2,moderate,insult-character,False,,False,witch; shrew (gendered),,bruho|bruhang,,,Spanish 'bruja',,,,high,model
tgl-bugok,bugok,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,idiot; literally 'rotten egg',rotten egg,,,,,,,hil|pam,high,wp|gelhmo|sunstar
tgl-bumbay,bumbay,tgl,Tagalog / Filipino,n,standard,2,moderate,slur-ethnic,True,ethnic,True,for Indians (from 'Bombay'); stereotype-laden,,,,,,,,,high,model
tgl-burat,burat,tgl,Tagalog / Filipino,n,slang,3,strong,sexual-anatomy|expletive,False,,False,penis (vulgar); in street slang also 'blind drunk',,burats,,,,,"Hiligaynon/Ilonggo 'burat' = drunk (mild colloquial), not anatomical",,high,wp|lingopie
tgl-buwaya,buwaya,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison,False,,True,'crocodile' — corrupt / greedy (esp. politicians),,,,,,,,,high,model
tgl-buwisit,buwisit,tgl,Tagalog / Filipino,adj,standard,1,mild,expletive,False,,False,jinx; annoyance — 'damn nuisance',,bwisit|bwiset|buset|nakakabuwisit|bwisit na buhay,,,Hokkien 'bo-ui-sit' (without clothes or food),,,ceb,high,wp|lingopie|talkbisaya
tgl-chaka,chaka,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-appearance,False,,False,ugly (swardspeak / gay lingo),,chakang chaka,,,,,'tsaka' (= and then) is an innocent near-homograph,,high,model
tgl-conyo,conyo,tgl,Tagalog / Filipino,n,slang,1,mild,insult-character,False,,True,"posh code-switching rich kid; pretentious upper-class mannerism (teasing, classist)",,konyo|conyo kids,,,Spanish 'coño' (cunt) — meaning shifted completely in Manila usage,In Chavacano/Spanish the source word is strongly vulgar; in Manila slang it is a mild class tease.,,,high,model|bienchabacano
tgl-demonyo,demonyo,tgl,Tagalog / Filipino,n,standard,1,mild,religious,False,,False,devil; 'demonyo ka' = you devil,,demonyo ka|demonyong,,,Spanish 'demonio',,,ceb|hil|war,high,gelhmo|model
tgl-ebak,ebak,tgl,Tagalog / Filipino,n,slang,1,mild,scatological,False,,False,poop (street slang),,umebak,,,,,,,high,model
tgl-engot,engot,tgl,Tagalog / Filipino,adj,slang,2,moderate,insult-intelligence,False,,False,dimwit,,,,,,,,,high,model
tgl-epal,epal,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-character,False,,False,attention-grabber; scene-stealer (from 'pumapapel'),,epal ka|kaepalan,,,,,,,high,model
tgl-gago,gago,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; fool; jerk,,gaga|gagu|gags|gagi|ogag|gagong|kagaguhan|nakakagago|gago ka,,,Spanish 'gago' (stutterer),'gaga' is the feminine form. On KBP broadcast auto-censor lists. Escalates with 'mo'/'ka' or with putang-ina compounds.,"substring traps: 'magaganda' (beautiful, pl.), 'kagagawan' (deed), 'Lady Gaga' — use word boundaries",ceb|hil|pam,high,wp|lingopie|spotph
tgl-gunggong,gunggong,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; blockhead,,,,,,,,,high,model
tgl-hangal,hangal,tgl,Tagalog / Filipino,adj,formal,2,moderate,insult-intelligence,False,,False,fool; ignoramus (literary/formal register),,,,,,"Formal-register insult — appears in literature, sermons, and editorials.",,,high,model
tgl-hayop,hayop,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison|expletive,False,,True,'animal!' — beastly person; also an expletive of frustration,,hayup|hayop ka|mga hayop,,,,Innocent literal sense 'animal'; profane only when directed or exclaimed.,,,high,wp|lingopie
tgl-hinayupak,hinayupak,tgl,Tagalog / Filipino,n,standard,3,strong,animal-comparison,False,,False,beastly person; son of a beast,,hinayupak ka,,,from 'hayop' (animal),,,,high,wp|lingopie
tgl-hindot,hindot,tgl,Tagalog / Filipino,v,standard,3,strong,sexual-act|expletive,False,,False,to fuck; also an expletive of disgust,,hindutan|hinindot|indot|hindot ka,,,,,,,high,wp
tgl-hudas,hudas,tgl,Tagalog / Filipino,n,standard,2,moderate,religious|insult-character,False,,False,Judas — traitor,,hudas ka,,,,,,,high,lingopie
tgl-hunghang,hunghang,tgl,Tagalog / Filipino,adj,formal,2,moderate,insult-intelligence,False,,False,foolish; senseless (literary register),,,,,,,,,high,model
tgl-impakta,impakta,tgl,Tagalog / Filipino,n,standard,2,moderate,insult-character|religious,False,,False,she-demon; wicked woman,,impakto,,,,,,,medium,model
tgl-intsik,intsik,tgl,Tagalog / Filipino,n,standard,2,moderate,slur-ethnic,True,ethnic,True,for Chinese / Chinese-Filipinos; dated everyday word now considered derogatory ('Tsinoy' preferred),,intsik beho|intsik beho tulo laway,,,Hokkien 'in chek' (his uncle),'Intsik beho tulo laway' is a schoolyard taunt — severity 3-4.,,,high,model
tgl-inutil,inutil,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-character,False,,False,useless; good-for-nothing,,,,,Spanish 'inutil',Acceptable even in formal scolding registers.,,ceb,high,talkbisaya|model
tgl-iskwater,iskwater,tgl,Tagalog / Filipino,n,slang,2,moderate,slur-classist,True,classist,True,'squatter' (informal settler) used as a class insult,,skwater|squatter ka|mukhang iskwater,,,,,,,high,model
tgl-jakol,jakol,tgl,Tagalog / Filipino,v,slang,3,strong,sexual-act,False,,False,"to masturbate (male, vulgar)",,dyakol|jakolero|nagjajakol|jinakol,,masturbesyon (clinical loan),,,,,high,wp
tgl-jebs,jebs,tgl,Tagalog / Filipino,n,slang,1,mild,scatological,False,,False,poop (swardspeak),,mag-jebs|jebs na jebs,,,,,,,medium,model
tgl-jologs,jologs,tgl,Tagalog / Filipino,adj,slang,2,moderate,slur-classist,True,classist,False,low-class; tacky (dated 2000s slang),,,,,,,,,high,model
tgl-kadyot,kadyot,tgl,Tagalog / Filipino,v,slang,3,strong,sexual-act,False,,True,to hump / quickie (vulgar slang),,kadyutan|isang kadyot,,,,Older/rural literal sense 'sudden jerk' survives in set phrases; assume vulgar in modern usage.,,,high,model
tgl-kainin-mo-tae-ko,kainin mo ang tae ko,tgl,Tagalog / Filipino,phrase,standard,3,strong,scatological|insult-character,False,,False,eat my shit,,kainin mo tae ko|kumain ka ng tae,,,,,,,high,lingopie
tgl-kalapating-mababa,kalapating mababa ang lipad,tgl,Tagalog / Filipino,phrase,euphemism,2,moderate,sex-work,False,,False,'low-flying dove' — press euphemism for a prostitute,,,,,,,,,high,model
tgl-kantot,kantot,tgl,Tagalog / Filipino,v,standard,3,strong,sexual-act,False,,False,to fuck; sexual intercourse (vulgar),,kantutan|kinantot|kantutin|kakantutin|nakantot|kantot mo,,pagtatalik / pakikipagtalik (formal 'intercourse'),,Severity 4 when used as a directed threat (e.g. 'kakantutin kita').,,,high,wp
tgl-kantotero,kantotero,tgl,Tagalog / Filipino,n,slang,3,strong,sexual-act|insult-character,False,,False,someone who sleeps around (male); womanizer (vulgar),,kantotera,,,,,,,high,model
tgl-kapalmuks,kapalmuks,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-character,False,,False,thick-faced; shameless (from 'makapal ang mukha'),,makapal ang mukha|kapal muks|kapal ng mukha mo,,,,,,,high,model
tgl-kiki,kiki,tgl,Tagalog / Filipino,n,slang,3,strong,sexual-anatomy,False,,False,vagina (slang),,,,,,,'kiki' in ballroom/drag slang = a party/gossip session; also a common pet name,,high,wp
tgl-kupal,kupal,tgl,Tagalog / Filipino,n,slang,3,strong,insult-character|sexual-anatomy,False,,False,asshole; jerk (literally 'smegma'),smegma,kupal ka,,,,,,,high,lingopie
tgl-leche,leche,tgl,Tagalog / Filipino,intj,standard,2,moderate,expletive,False,,False,damn (literally 'milk'),,letse|leche ka|letseng|lecheng,,,Spanish 'me cago en la leche'; popularized during the Spanish era,,'leche flan' (the dessert) is innocent — phrase-level exception needed,,high,wp|lingopie|spotph
tgl-libog,libog,tgl,Tagalog / Filipino,n,standard,2,moderate,sexual-general,False,,False,lust; horniness (vulgar in Tagalog),,malibog|kalibugan|libugan,,,,,Cebuano/Bisaya 'libog' = confused — completely innocent; a classic cross-language trap,,high,model
tgl-linta,linta,tgl,Tagalog / Filipino,n,standard,1,mild,animal-comparison,False,,True,'leech' — exploiter,,,,,,,,,medium,model
tgl-lintik,lintik,tgl,Tagalog / Filipino,intj,standard,1,mild,expletive|malediction,False,,False,'lightning!' — damn; may lightning strike you,,lintek|lintik ka|malilintikan ka,,,,'Malilintikan ka sa akin' (you'll get it from me) is a severity-2 threat form.,,,high,wp|lingopie
tgl-loko,loko,tgl,Tagalog / Filipino,adj,standard,1,mild,insult-mental,False,,True,crazy; trickster,,loka|loko-loko|luko-luko|loko ka,,,Spanish 'loco',Very often playful/affectionate ('loko ka talaga!'); rarely worth blocking alone.,,,high,model
tgl-maharot,maharot,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-character|sexual-general,False,,False,wild / flirty (of a woman); unruly,,,,,,,,,medium,model
tgl-malandi,malandi,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-character|sexual-general,False,,False,"flirty / promiscuous (gendered sting, usually aimed at women)",,landi|lumalandi|malandi ka|pagkalandi,,,,,,,high,model
tgl-mangmang,mangmang,tgl,Tagalog / Filipino,adj,formal,2,moderate,insult-intelligence,False,,False,ignorant; unlettered (formal register),,kamangmangan,,,,,,,high,model
tgl-ngongo,ngongo,tgl,Tagalog / Filipino,n,standard,3,strong,slur-ableist,True,ableist,False,mocks hypernasal / cleft-palate speech,,,,,,,,,high,model
tgl-nognog,nognog,tgl,Tagalog / Filipino,n,slang,3,strong,slur-ethnic|insult-appearance,True,ethnic,False,mocks dark skin (colorist slur),,,,,,,,,high,model
tgl-pak,pak,tgl,Tagalog / Filipino,intj,euphemism,1,mild,expletive,False,,True,minced 'fuck' — dang; also a meme interjection,,pak!|pak ganern,,,,,,,high,model
tgl-pakshet,pakshet,tgl,Tagalog / Filipino,intj,slang,2,moderate,expletive,False,,False,fuck-shit blend — damn it,,pak shet|pakshet ka,,,Portmanteau of English 'fuck' + 'shit'; popularized by the 2002 film 'Jologs',,,,high,wp|lingopie
tgl-pakyu,pakyu,tgl,Tagalog / Filipino,intj,slang,3,strong,expletive,False,,False,fuck you (localized spelling),,pak yu|pakyu ka|fakyu,,,,,,,high,lingopie
tgl-pandak,pandak,tgl,Tagalog / Filipino,adj,standard,1,mild,insult-appearance,False,,True,shorty,,,,,,,,,high,model
tgl-pangit,pangit,tgl,Tagalog / Filipino,adj,standard,1,mild,insult-appearance,False,,True,ugly,,panget|pangit mo,,,,Also an innocent descriptor of things ('pangit ang lasa' = tastes bad); severity 2 when aimed at a person.,,,high,model
tgl-patutot,patutot,tgl,Tagalog / Filipino,n,standard,3,strong,sex-work,False,,False,"prostitute (dated, derogatory)",,,,,,,,,high,model
tgl-pekpek,pekpek,tgl,Tagalog / Filipino,n,slang,3,strong,sexual-anatomy,False,,False,vagina (slang),,pek-pek,,,,'pekpek shorts' (very short shorts) is established fashion slang — partially lexicalized.,,,high,wp|model
tgl-pepe,pepe,tgl,Tagalog / Filipino,n,slang,2,moderate,sexual-anatomy,False,,True,vagina (child register / slang),,,,,,,Spanish nickname 'Pepe' (for Jose); Pepe the Frog meme,,high,wp|model
tgl-peste,peste,tgl,Tagalog / Filipino,intj,standard,1,mild,expletive,False,,False,pest! — damn,,pesteng,,,Spanish 'peste' (plague),,,ceb|hil|war,high,model
tgl-plastik,plastik,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-character,False,,True,fake; two-faced,,,,,,Literal 'plastic' is innocent.,,,high,model
tgl-pokpok,pokpok,tgl,Tagalog / Filipino,n,slang,3,strong,sex-work|slur-sexist,True,sexist,True,"prostitute (derogatory, gendered)",,,,,,,'pokpok' also means 'to hammer/pound' — innocent literal sense,,high,model
tgl-praning,praning,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-mental,False,,False,paranoid; jumpy-crazy (from 'paranoid'),,,,,,,,,high,model
tgl-promdi,promdi,tgl,Tagalog / Filipino,n,slang,2,moderate,slur-classist,True,classist,True,'from the province' — provincial rube,,,,,,Sometimes a neutral or proud self-label; hostile when aimed at others.,,,high,model
tgl-pucha,pucha,tgl,Tagalog / Filipino,expr,euphemism,1,mild,expletive,False,,False,minced 'puta' — darn / shoot,,putsa|pucha naman|puchang,,,,,,,high,lingopie|model
tgl-puke,puke,tgl,Tagalog / Filipino,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,puki|pukeng,mani|bibingka|bulaklak,ari ng babae / kaselanan (formal); 'vagina' as clinical loan,,,English 'puke' (to vomit) is innocent — language context required,,high,wp|lingopie
tgl-puke-ng-ina-mo,puke ng ina mo,tgl,Tagalog / Filipino,phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's vagina,,puking ina mo|pukinginamo,,,,,,,high,lingopie
tgl-punyeta,punyeta,tgl,Tagalog / Filipino,intj,standard,3,strong,expletive,False,,False,damn it; (of a person) asshole,,punieta|punyeta ka|mga punyeta kayo|punyemas,,,Spanish 'puñeta','punyemas' is a minced variant (severity 1).,,,high,wp|lingopie
tgl-puta,puta,tgl,Tagalog / Filipino,n,standard,3,strong,expletive|sex-work,False,,False,whore; as interjection 'damn / fuck',,pota|putah|mga puta|putang,pucha|putsa|putik|potek,,Spanish 'puta',Severity rises to 4 when aimed at a person (esp. a woman) rather than used as an interjection.,"'puto' (rice cake) and 'putahe' (dish, fr. Sp. potaje) are innocent|substring collisions: disputa, reputasyon, deputado, Putatan (place)",ceb|ilo|hil|war|bcl|pam|pag|cbk,high,wp|lingopie
tgl-putang-ina,putang ina,tgl,Tagalog / Filipino,phrase,standard,4,severe,expletive|family-honor,False,,False,your mother is a whore; as interjection works like English 'fuck!',whore (is your) mother,putangina|putang-ina|putang ina mo|putanginamo|tang ina|tangina|tang-ina|tangina mo|tanginamo|tangna|ptangina|pukinangina|kingina|kinangina|pi|p.i.,pucha|putsa|putik|potek|putragis|taena,,Spanish 'puta' (whore) + Tagalog 'ina' (mother),"The strongest and most common Filipino curse; usually a non-literal intensifier (PH Supreme Court held it non-literal, 1969 & 2006). On broadcast auto-censor lists. Understood and used nationwide across all Philippine languages. Short forms 'pi'/'p.i.' need word-boundary matching to avoid false positives.",,ceb|ilo|hil|war|bcl|pam|pag|cbk,high,wp|lingopie|spotph
tgl-putik,putik,tgl,Tagalog / Filipino,expr,euphemism,1,mild,expletive,False,,True,minced 'puta'; literally 'mud',mud,potek|putek,,,,Literal sense 'mud' is innocent; expletive only by intonation/context.,,,high,lingopie|model
tgl-putragis,putragis,tgl,Tagalog / Filipino,expr,euphemism,1,mild,expletive,False,,False,minced 'putang ina' — dang it,,potragis,,,,,,,high,lingopie|model
tgl-salbahe,salbahe,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-character,False,,False,cruel; brutish; naughty,,salbaheng,,,Spanish 'salvaje' (savage),,,,high,model
tgl-salot,salot,tgl,Tagalog / Filipino,n,standard,2,moderate,insult-character,False,,False,plague; scourge (of a person),,,,,,,,,high,model
tgl-salsal,salsal,tgl,Tagalog / Filipino,v,slang,3,strong,sexual-act,False,,False,to masturbate (vulgar),,sinalsal|salsalero|nagsasalsal,,,,,,,high,wp
tgl-sanamagan,sanamagan,tgl,Tagalog / Filipino,intj,euphemism,1,mild,expletive,False,,False,Filipinized minced 'son of a gun/bitch',,sonamagan,,,,,,,medium,model
tgl-shet,shet,tgl,Tagalog / Filipino,intj,slang,1,mild,expletive,False,,False,Filipinized 'shit' (much softened),,syet|shets|shocks|shux|sheeet,,,,'shocks'/'shux' are further-minced forms.,,,high,lingopie
tgl-shonget,shonget,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-appearance,False,,False,ugly (swardspeak),,,,,,,,,medium,model
tgl-shunga,shunga,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-intelligence,False,,False,silly; dim (playful youth/swardspeak slang),,shunga-shunga|shongaks,,,,,,,high,model
tgl-sipsip,sipsip,tgl,Tagalog / Filipino,n,slang,1,mild,insult-character,False,,True,bootlicker; suck-up,,,,,,Literal 'to sip/suck' is innocent.,,,high,model
tgl-sira-ulo,sira-ulo,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-mental,False,,False,crazy; 'broken-headed',,sira ulo|sira ang ulo|sira-ulo ka,,,,,,,high,lingopie
tgl-supot,supot,tgl,Tagalog / Filipino,adj,slang,2,moderate,masculinity-taunt,False,,True,uncircumcised — manhood/hygiene taunt,,,,,,Tied to the 'tuli' (circumcision) rite; taunt implies immaturity.,'supot' = paper/plastic bag — an extremely common innocent word,,high,wp|lingopie
tgl-susmaryosep,susmaryosep,tgl,Tagalog / Filipino,intj,euphemism,1,mild,religious,False,,False,Jesus-Mary-Joseph! (minced oath),,sus|susmariosep|hesusmaryosep,,,,"Mildly irreverent interjection, not an insult; 'sus' now also mimics English 'sus' (suspicious).",,,high,wp|lingopie
tgl-tabachoy,tabachoy,tgl,Tagalog / Filipino,n,slang,2,moderate,insult-appearance,False,,False,fatty,,tabatsoy|tabachingching,,,,Bare 'taba' (fat) is innocent; the -choy forms are teasing-to-derogatory.,,,high,model
tgl-tae,tae,tgl,Tagalog / Filipino,n,standard,1,mild,scatological,False,,False,shit (milder than the English word),,taeng|tae!,,dumi (formal); 'pagtae/pagtatae' are clinical and innocent,,,,,high,wp
tgl-taena,taena,tgl,Tagalog / Filipino,expr,euphemism,2,moderate,expletive|scatological,False,,False,minced 'putang ina' via 'tae' (shit),,teyna|tae na,,,,,,,high,wp|model
tgl-tanga,tanga,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,stupid; dimwit,,katangahan|tangang|tanga ka ba|tangengot,,,,'tangengot' is a jokey softened variant (severity 1).,Spanish/Portuguese 'tanga' = thong; Malay 'tangga' = ladder,,high,lingopie|wp
tgl-tarantado,tarantado,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-character,False,,False,jerk; scoundrel; out-of-line,,tarantada|tarantadong|taranta,,,Spanish 'atarantado' (dazed),,,pam,high,wp|lingopie
tgl-timang,timang,tgl,Tagalog / Filipino,adj,slang,1,mild,insult-mental,False,,False,crazy; scatterbrained (Batangas/Southern Tagalog regionalism),,,,,,,,,medium,model
tgl-tinggil,tinggil,tgl,Tagalog / Filipino,n,standard,3,strong,sexual-anatomy,False,,False,clitoris (vulgar),,,,klitoris (clinical loan),,,,,high,wp
tgl-titi,titi,tgl,Tagalog / Filipino,n,standard,3,strong,sexual-anatomy,False,,False,penis (vulgar),,etits,saging|ahas|talong,ari ng lalaki (formal); 'penis' as clinical loan,,'etits' is syllable-inverted street slang.,,,high,wp|model
tgl-tomboy,tomboy,tgl,Tagalog / Filipino,n,standard,1,mild,slur-homophobic,True,homophobic,True,lesbian / masculine woman — usually neutral colloquial,,,,,,Differs from the English sense; generally not hostile by itself.,,,high,model
tgl-tsupa,tsupa,tgl,Tagalog / Filipino,v,slang,3,strong,sexual-act,False,,False,fellatio; to give oral sex (vulgar),,chupa|tsupaan|tsinupa,,,Spanish 'chupar' (to suck),,,,high,wp
tgl-ugok,ugok,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,dolt; slow,,,,,,,,,high,wp
tgl-ulol,ulol,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-mental,False,,False,crazy; rabid-mad,,ulul|naulol|ulol ka,,,,Implies madness rather than mere stupidity; on KBP broadcast censor lists. Stigmatizes mental illness.,,,high,wp|lingopie
tgl-ulupong,ulupong,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison,False,,False,'pit viper' — treacherous person (literary flavor),,,,,,,,,high,model
tgl-ungas,ungas,tgl,Tagalog / Filipino,adj,standard,2,moderate,insult-intelligence,False,,False,dimwit; bonehead,,,,,,,,,high,lingopie
tgl-unggoy,unggoy,tgl,Tagalog / Filipino,n,standard,2,moderate,animal-comparison,False,,True,'monkey' — mocking; racist when aimed at ethnicity or appearance,,,,,,,,,high,model
tgl-utot,utot,tgl,Tagalog / Filipino,n,standard,1,mild,scatological,False,,True,fart,,,,,,Childish rather than offensive in most contexts; 'utot mo!' dismisses someone's claim.,,,high,model
tgl-walang-hiya,walang hiya,tgl,Tagalog / Filipino,phrase,standard,2,moderate,insult-character,False,,False,shameless — a deep cultural rebuke,,walanghiya|walang-hiya|walang hiya ka|kawalanghiyaan,,,,Tied to the core value of 'hiya' (social shame/face); described as an ultimate 'loob'-wounding remark that cuts across social classes.,,,high,wp|lingopie
tgl-walang-kwenta,walang kwenta,tgl,Tagalog / Filipino,phrase,standard,2,moderate,insult-character,False,,False,worthless,,walang kuwenta|walang kwentang tao,,,,,,,high,lingopie
war-badi,badi,war,Waray-Waray,n,slang,1,mild,slur-homophobic,True,homophobic,True,"gay man (colloquial; usually neutral, hostile only in context)",,,,,,,,,medium,model
war-iroy-nga-yawa,iroy nga yawa,war,Waray-Waray,phrase,standard,3,strong,family-honor|religious,False,,False,devil's mother — strong Waray curse; 'iroy' (mother) is itself rude in casual speech,,iroy mo|iroy nga yawa!|ka iroy,,,,"'iroy' is formal/literary for 'mother' (e.g. 'Iroy nga Tuna', motherland) but offensive in casual address — a register-flip unique to Waray.",,,high,warayblogger
war-lurong,lurong,war,Waray-Waray,adj,standard,2,moderate,insult-mental,False,,False,crazy,,ka lurong|lurong ka,,,,,,,medium,model
war-puday,puday,war,Waray-Waray,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,puday mo,,,,,,,medium,model
